Installed Mods
                      File Name                     |             Registered Name             | Version  | MC Version |               Dependencies              | Category
3dskinlayers-fabric-1.5.3-mc1.19.4.jar              | Skin Layers 3D (Fabric/Forge)           | 1.5.3    | 1.19.4     |                                         | Cosmetic
appleskin-fabric-mc1.19.4-2.4.3.jar                 | AppleSkin                               | 2.4.3    | 1.19.4     |                                         | QoL
architectury-8.1.79-fabric.jar                      | Architectury API (Fabric/Forge)         | 8.1.79   | 1.19.4     |                                         | Required
authme-mc1.19.4-6.0.0.jar                           | Auth Me                                 | 6.0.0    | 1.19.4     | Cloth Config API (Fabric/Forge)         | QoL
bettercommandblockui-0.3.1-1.19.4.jar               | Better Command Block UI                 | 0.3.1    | 1.19.4     |                                         | Technical
BetterF3-6.0.0-Fabric-1.19.4-pre3.jar               | BetterF3                                | 6.0.0    | 1.19.4     |                                         | Technical
betterfpsdist-fabric-1.19-2.4.jar                   | Better FPS - Render Distance[Fabric]    | 2.4      | 1.19.3     |                                         | Performance
BetterPingDisplay-Fabric-1.19.4-2.0.2.jar           | Better Ping Display [Fabric]            | 2.0.2    | 1.19.4     |                                         | Technical
betterstats-2.5.2+1.19.4.jar                        | Better Statistics Screen (Fabric/Forge) | 2.5.2    | 1.19.4     | TCDCommons API                          | QoL
BetterTags-1.19.3-Fabric-v1.0.jar                   | Better Tips                             | 1.0      | 1.19.4     |                                         | Technical
BetterThirdPerson-Fabric-1.19-1.9.0.jar             | Better Third Person                     | 1.9.0    | 1.19.3     |                                         | QoL
CameraOverhaul-1.4.0-fabric-universal.jar           | CameraOverhaul                          | 1.4.0    | 1.19.4     |                                         | Cosmetic
camerautils-1.19.4-1.0.3.jar                        | Camera Utils                            | 1.0.3    | 1.19.4     |                                         | QoL
capes-1.5.2+1.19.3-fabric.jar                       | Capes [Fabric/Forge]                    | 1.5.2    | 1.19.4     | Fabric Language Kotlin                  | Cosmetic
carpet-extra-1.19.4-1.4.100.jar                     | Carpet Extra                            | 1.4.100  | 1.19.4     | Carpet                                  | Technical
carpet-fixes-1.19.3-1.13.0.jar                      | Carpet-Fixes                            | 1.13.0   | 1.19.3     | Carpet                                  | Technical
carpet-tis-addition-mc1.19.4-v1.46.1.jar            | Carpet TIS Addition                     | 1.46.1   | 1.19.4     | Carpet                                  | Technical
chatpatches-194.4.2.jar                             | Chat Patches                            | 194.4.2  | 1.19.4     |                                         | QoL
CITResewn-1.1.3+1.19.4.jar                          | CIT Resewn                              | 1.1.3    | 1.19.4     |                                         | Cosmetic
ClearDespawn-fabric-1.19.2-1.1.10.jar               | Clear Despawn [Fabric]                  | 1.1.10   | 1.19.3     |                                         | Survival
ClientSideNoteblocks-2.3+1.19.3.jar                 | Client Side Noteblocks                  | 2.3      | 1.19.3     |                                         | QoL
